4 19 15 159 12 19 41 1059 4704 1 1
16 653 671 6263 34 41 101 45324 59877 1 4
20 49 55 412 20 27 61 3240 3976 1 4
21 38 36 339 21 11 51 2055 4438 1 5
30 33 32 240 10 24 51 1837 3281 2 6
45 9 9 60 10 21 49 415 1136 2 9
60 28 29 179 9 18 49 1349 2903 3 11
94 7 7 53 9 16 35 339 779 4 17
111 15 14 78 10 17 49 543 1622 4 19
117 105 102 815 20 31 65 6323 9371 4 21
156 49 50 396 11 34 61 2881 4798 5 28
164 9 6 46 8 12 35 387 813 5 29
186 10 10 63 8 13 41 419 1011 6 33
189 26 28 209 9 26 49 1398 2291 6 34
203 10 9 75 4 20 35 600 1064 2 36
205 5 5 36 4 24 39 255 692 2 37
220 11 11 77 9 18 49 461 1416 6 39
268 84 74 764 10 30 65 5292 10827 8 48
279 10 9 64 2 24 39 480 689 8 50
282 29 27 226 7 28 49 1682 2898 8 50
